tweet_id,hashtags,full_text,user_name,user_location,tweet_favourites,tweet_sentiment_tb,tweet_sentiment_vs,user_verified,user_followers_count
5303,BJPdestroysDemocracy,"@rihanna I think if farmers  leave farming all BJP's and hindu supporters will go and drink cow's urine but with out Grass and food how the cow will give milk and urine so all hindutva sangis and BJP ns think and act
#BJPdestroysDemocracy 
#wesuppportffarmers",கந்தக் குமரன்,தமிழ்நாடு,1,-0.13333333333333333,0.2144,False,0
8074,,@rihanna Thanks for your support ✊🏻,sukh sidhu,"Brisbane, Queensland",0,0.30000000000000004,0.6808,False,1
4746,,@rihanna respcted sis rihanna.. khud k ghar ki aag nai bhujh rahi aur padosi ka bacha rhe ho ..we are capable to talk to our farmrs..see our,uday rai,"Mumbai, India",0,0.2,0.3818,False,1
3483,,@rihanna Thats true,Satbir Singh,"Coventry, England",0,0.35,0.4215,False,4
8672,,@rihanna Thanks for your care and support on the matter. @rihanna,Paul Abraham,kerala,0,0.2,0.836,False,14
5480,FarmersProtest,@rihanna 🙏🙏💐✊ thanks #FarmersProtest,Rajveer nakodar,"Kuala Lumpur City, Kuala Lumpu",0,0.2,0.4404,False,5
2702,,@rihanna Because each and every celebrity are sold in India,Manas jyoti saikia,"Guwahati, India",0,0.0,0.0,False,25
8118,farmersProtest,@rihanna Thanks to Rihanna your tweet #farmersProtest,BHARPUR SINGH HAWARA,"Khamanon, India",0,0.2,0.4404,False,81
8485,rihanna,@rihanna @Davinde94421675 Tnks #rihanna🙏,Prince Brahampur,"Amritsar, Punjab",0,0.0,0.0,False,15
4381,,@rihanna Half-truth is even more dangerous than a lie 🙂,Poonam Yadav,"Kalol, India",0,-0.08888888888888886,-0.1744,False,10
1066,,@rihanna Always with Farmers 👍,Aswin Raju,"Kerala, India",0,0.0,0.0,False,0
4735,,@rihanna 💓,Rinta Jolly Thottungal,"Kerala, India",0,0.0,0.296,False,5
7254,,@rihanna @taapsee Beta 18 crore for tweet tujhe woh bhi nhi milega,देवांशु गुप्ता,बस्ती ,0,0.0,0.0,False,41
5830,,@rihanna 🙏🙏🙏🙏🙏🌷🌷🌷🌷🌷🌷thnku so much,mr Gurtej singh,"Punjab, India",0,0.2,0.0,False,181
3707,,@rihanna if you protest for the farmers you should know that this fucking actors who act like they  are farmes in real life they are not. these actors drove their tractors and hurted people,Hackersbro,USA,0,-0.19999999999999998,0.128,False,15
8359,,@rihanna Thanks ❤️,FARMER-Apneet singh,"Brookfield, Tauranga City",0,0.1,0.7964,False,6
3154,,@rihanna Mind your own business. This is my country. Don't dare to our internal matter.,प्रविण बाबुलाल वाघ,Satana Nashik Maharashtra ,0,0.3,0.0258,False,22
2601,,"@rihanna When u never lived india to know the reality on the ground, don't dumb make comments. These so called farmers r not even farmers, if u go ask them they won't be able to tell u what they r protesting for, most  r oppos-political party ppl and anti-Indians &amp; u r raising voice for?",Sonal Patel,USA,0,0.20833333333333334,0.434,False,8
1039,,"@rihanna When u never lived india to know the reality on the ground, don't make dumb comments.These so called farmers r not even farmers, if u go ask them they won't be able to tell u what they r protesting for, most  r oppos-political party ppl and anti-Indians &amp; u r raising u'r voice 4?",Sonal Patel,USA,0,0.20833333333333334,0.434,False,8
4033,,"@rihanna Why aren't we taking about this?

https://t.co/mWJjxC6NhC",Sonal Patel,USA,0,0.0,0.0,False,8
2961,democracy,"@rihanna In a #democracy people talk and the gov takes steps. The #American way is putting people behind the bars.
This is #India: We talk about differences and do something about it instead of shooting.
#IndiaAgainstPropaganda #IndiaRejectsPropaganda #IndiaStandsTogether #FarmersProtest",Abhishek Mishra,Malaysia,0,-0.2,0.0,False,71
5747,,@rihanna Salute ✊🏻💪🏻,Gagandeep singh,"Melbourne, Victoria",0,0.4,0.0,False,4
9545,,"@rihanna Why don't come to Indian , Hatt bhe",Rohitraaz Thakur,"Shahjahanpur, India",0,0.0,0.0,False,17
9555,,"@rihanna Mind your own business.
You have a lot to worry about in tour own personal life.",Justice,India,0,0.39999999999999997,-0.4404,False,21
8095,worldsbiggestfarmersprotest,@rihanna Continuing from 1946..no change..#worldsbiggestfarmersprotest #FarmersProtest #FarmersAreIndia 👉👉https://t.co/frAGfaIS9J,Kishore Anantharaju,"Hyderabad, India",1,0.0,0.0,False,12
5302,,"@rihanna My name is Pravin and I am from India : Thanks for your valuable support to indian farmers ...
God bless you...",Pravin,भारत,0,0.2,0.9118,False,4
7419,ISupportIndia,"@rihanna This one line is Worth 2.5 million maybe a kickback of one night stand
#ISupportIndia",sam bomb,"kashmir, India",0,0.3,0.2263,False,12
5917,princesofchina,"@rihanna Here is something for nubs this girl is soft weapon of china came into light after 2012 after china made a number #princesofchina to and use it to enter south Africa ,she is one of the prostitute of china 👎",sam bomb,"kashmir, India",0,0.11481481481481481,-0.2263,False,12
9102,,"@rihanna Lets verify this?! 

https://t.co/XKClIwbYn3",Shalin,"Sydney, New South Wales",1,0.0,0.0,False,1429
3653,,@rihanna Thx for support 🙏💕✌️👍👏,Deep Kaur,"Vancouver, British Columbia",0,0.0,0.6369,False,12
5910,,@rihanna Because of this https://t.co/wJSUeUz4VB,Anugrah Bhishma Bajwa,"Texas, USA",0,0.0,0.0,False,9
1243,,@rihanna Right,Shobhit mishra,Ramnagar  barabanki up,0,0.2857142857142857,0.0,False,15
7771,,"@rihanna Do you have any knowledge regarding the the Farmers Bill in India. If not, shut your mouth. 🤫",Kartik Pareek,"Bikaner, India",0,0.0,0.0,False,13
8535,,@rihanna ❤,Joe,"New York, USA",0,0.0,0.6369,False,14
5282,,@rihanna Thank you @rihanna,Amrit gill,"Sangrur, Punjab",0,0.0,0.3612,False,8
5086,,@rihanna Well said,simi augustine,"London, England",0,0.0,0.2732,False,2
1213,,@rihanna https://t.co/Vs40rtvdCk,Chandan Razz,"Bihar, India",0,0.0,0.0,False,0
5157,,@rihanna 👍👍,Ahmed Al Hadi,"Sylhet, Bangladesh",0,0.0,0.0,False,1
9604,,"@rihanna You have soft corner for farmers , we salute you",Ibrar,"Dubbo australia,",0,0.1,0.0,False,4
2266,FarmersAreIndia,@rihanna Thanks you @rihanna  for     #FarmersAreIndia #FarmersProtest,Gurinder singh,Punjab ,0,0.2,0.4404,False,9
8119,,@rihanna God bless you @rihanna. lots of love.,Viral Bollywood,"Mumbai, Maharshtra, India",0,0.5,0.8442,False,50911
3123,,@rihanna Porn Star ⭐ Rihanna,Tasvir Dholiya,India,0,0.0,0.0,False,20
9354,IStandwithFarmerProtest,@rihanna Thanks @rihanna #IStandwithFarmerProtest,Honey Gill,"Hastings District, New Zealand",1,0.2,0.4404,False,0
4183,,@rihanna You moterfucker .. What you think about india .. Who r u?? ... Do your work entertain Us .. U bluddy porn star ..,mahendra gurav,"Navi Mumbai, India",0,0.0,0.3939,False,0
1227,,@rihanna @taapsee Thank you for your support ❤️❤️❤️❤️,#ਮੈਂ_ਵੀ_ਕਿਸਾਨ,"Toronto, Ontario",0,0.0,0.8555,False,26
5410,FarmersProtest,@rihanna @taapsee #FarmersProtest #FarmersProtest #SaveFarmers,#ਮੈਂ_ਵੀ_ਕਿਸਾਨ,"Toronto, Ontario",0,0.0,0.0,False,26
7585,StandwithFarmersProtest,@rihanna @theGGrewal #StandwithFarmersProtest #KisanMajdoorEktaZindabaad,RAKESH KUMAR,"Ludhiana, India",0,0.0,0.0,False,11
1657,,@rihanna Indians who are not patriotic but selfish will  never speak for farmers .,ABP,India,0,-0.5,0.5157,False,875
7896,,@rihanna Thanks for your support @rihanna https://t.co/Le1DQHYRjk,ਜਗਜੀਤ ਸਿੰਘ جگج سنگھ,Chandigarh ,4,0.2,0.6808,False,182
8128,,@rihanna Thank you madam,செந்தில் குருநாதன்,Tamilnadu ,0,0.0,0.3612,False,45
5161,,@rihanna Thanks for bringing up,MK Rashid,Doha-Qatar,0,0.2,0.4404,False,166
1922,FarmersProtest,@rihanna We are proud that you are supporting the truth! #FarmersProtest,sandhu shamsher,Belgium,0,0.55625,0.8221,False,31
9893,,@rihanna Thanx Rihanna 🙏❤,Uttal,Kolkata,0,0.0,0.6369,False,15
9884,,@rihanna https://t.co/0y9j4ApPFZ,Lord kira,India,0,0.0,0.0,False,4
5818,,@rihanna https://t.co/cUnH85CE3j,$¡v@ ®@m krishna,"Chennai, India",0,0.0,0.0,False,115
8003,,"@rihanna किसान दो महीने से सड़कों पर है, तो बहनचोद मंडी में रोज सुबह हरी सब्जियाँ लेकर कौन आ रहे हैं...🤔",Shailu,"Gandhidham, India",0,0.0,0.0,False,156
7087,,@rihanna Thanks,Kamaljeet Kaur,"Perth, Western Australia",0,0.2,0.4404,False,1
2021,,@rihanna https://t.co/hT7DYRCkv9,Rohit Yadav,"Mainpuri, India",0,0.0,0.0,False,15
1921,FarmersProtest,"@rihanna #FarmersProtest #FarmersAreIndia thank you,thank you so much for address this issue to the world.modi is trying to bring back feudalism.He is a slave of corporates.",vishnu s,Alappuzha,0,0.1,0.3612,False,11
3426,,@rihanna https://t.co/SrGlHOffdV,Sedhabhai_Parmar,"Gandhinagar, India",1,0.0,0.0,False,236
5139,,@rihanna Thanks for your kind support,Harinder Singh Shahi,"Amloh, India",0,0.4,0.8402,False,1
9185,rihana_poop_aniwhere,"@rihanna U r celebrity not an economist kindly consult with some knowledgeable people before popping.  
Kindly don't interfere the area where u don't have the knowledge.
#rihana_poop_aniwhere",giriverma,raipur,0,0.6,0.1461,False,2
