text,frequency,avg_sentiment_tb,avg_sentiment_vs,%age_share
delhi,38,0.051814186666160375,-0.17838684210526315,0.0053035589672016745
democracy,63,0.10639072127167362,0.07482380952380951,0.008792742498255408
democratic,25,0.09170743145743147,0.189528,0.0034891835310537334
die,31,0.07385642135642136,-0.3537935483870968,0.0043265875785066295
do,48,0.11115205956514551,0.2832166666666666,0.006699232379623168
dont,45,0.047512395783229126,-0.0334088888888889,0.00628053035589672
ekta,40,0.06104166666666666,0.18016000000000001,0.005582693649685973
enough,24,0.1471047528860029,0.09870416666666665,0.003349616189811584
even,81,0.07185911298675848,0.02727530864197531,0.011304954640614095
ever,21,0.01887566137566138,-0.07025714285714287,0.0029309141660851363
every,35,0.06221879509379509,0.10070857142857147,0.004884856943475227
everyone,61,0.07161808364677218,0.12883934426229512,0.00851360781577111
face,32,0.05309606481481482,0.042128125000000016,0.004466154919748779
face blowing a kiss,35,0.23867638483965012,0.6615914285714286,0.004884856943475227
face with tears of joy,49,0.5262830012957566,0.2869591836734695,0.0068387997208653175
fake,28,-0.17701166180758016,-0.19976428571428567,0.003907885554780182
fan,21,0.18414021164021163,0.474347619047619,0.0029309141660851363
farm,66,0.03445933906161179,0.15415151515151518,0.009211444521981856
farmer,226,0.13169813804527575,0.3330646017699111,0.03154221912072575
farmerprotest,51,0.09269084401437343,0.3177470588235294,0.007117934403349616
farmers,1067,0.13193361606877033,0.3597486410496723,0.14891835310537335
farmersareindia,42,0.15142797017797016,0.18499047619047623,0.0058618283321702725
farmersprostest,96,0.10601149140211642,0.27429479166666687,0.013398464759246336
farmersprotest,357,0.08742554976536068,0.23357675070027992,0.04982554082344731
farmersprotests,80,0.10536644345238097,0.2461275,0.011165387299371946
feel,35,0.07858554937126365,0.04819999999999999,0.004884856943475227
fight,23,0.18397609636740073,0.24938260869565215,0.003210048848569435
fire,27,0.06378306878306877,0.027511111111111108,0.003768318213538032
first,44,0.12314999972670428,-0.0461590909090909,0.006140963014654571
flag: India,42,0.13984264412835842,0.3431809523809524,0.0058618283321702725
