tweet_id,tweet_timestamp_x,hashtags,full_text,user_name,user_location,tweet_timestamp_y,tweet_favourites,tweet_favourited,retweet_count,retweeted,tweet_sentiment_tb,tweet_sentiment_vs
9963,2021-02-05 04:22:09,,@rihanna Illetrate women you are supporting slavery of poor Indian farmers read it if you can otherwise take help.get well soon https://t.co/O1bs9XZTk5,Siddhant Shukla,,2021-02-05 04:22:09,0,False,0,False,-0.07500000000000001,-0.5994
5672,2021-02-05 04:22:05,,@rihanna Thnx Mam,Goggi Chopra,,2021-02-05 04:22:05,0,False,0,False,0.0,0.0
5266,2021-02-05 04:22:03,FarmersProtest,@rihanna Only love and respect #FarmersProtest,Dilpreet Dhillon,"Mohali, India",2021-02-05 04:22:03,0,False,0,False,0.25,0.8074
9738,2021-02-05 04:22:01,IndiaAgainstPropaganda,@rihanna Because they aren’t being paid puppets like you! Filthy people who sell tweets for money aren’t as many. Has anyone in your world ever been a farmer? #IndiaAgainstPropaganda #IndiaTogether #IndiaRejectsPropaganda #RihannaSoldOut #RihannaSorosPuppet,SRIM,India,2021-02-05 04:22:01,0,False,0,False,-0.15000000000000002,0.4199
5714,2021-02-05 04:21:41,,@rihanna I wish we could do more to help them,xx,"Calgary, AB",2021-02-05 04:21:41,1,False,0,False,0.5,0.6887
5219,2021-02-05 04:21:36,,"@rihanna ,, 💕",Sunny,,2021-02-05 04:21:36,0,False,0,False,0.0,0.6486
2569,2021-02-05 04:21:36,,@rihanna @yadavakhilesh Sport farmers,Md Phakre Alam,,2021-02-05 04:21:36,0,False,0,False,0.0,0.0
7614,2021-02-05 04:21:34,,@rihanna https://t.co/Yn7qOLXj0b,selvakumaran,,2021-02-05 04:21:34,0,False,0,False,0.0,0.0
6176,2021-02-05 04:21:26,,@rihanna Thanks for support 😌,Gurjeetkumar,,2021-02-05 04:21:26,0,False,0,False,0.2,0.802
8409,2021-02-05 04:21:24,,@rihanna 👍👍👍👍,Sangha Tanda,,2021-02-05 04:21:24,0,False,0,False,0.0,0.0
5481,2021-02-05 04:21:23,,@rihanna Thanks for support our farmers 🙏🏻🙏🏻,Lakhwinder Singh,,2021-02-05 04:21:23,0,False,0,False,0.3333333333333333,0.6808
2949,2021-02-05 04:21:20,,@rihanna Very good,Sahib Singh,,2021-02-05 04:21:20,0,False,0,False,0.9099999999999999,0.4927
3627,2021-02-05 04:21:14,,@rihanna M,Muhammed Rafi,,2021-02-05 04:21:14,0,False,0,False,0.0,0.0
6674,2021-02-05 04:21:13,,@rihanna https://t.co/Ug3B4qgIO9,Sharma Raj,chandigarh,2021-02-05 04:21:13,0,False,0,False,0.0,0.0
9513,2021-02-05 04:21:04,delhi,@rihanna At #delhi in #FarmersProtest #FarmBills2020 #BJPdestroysDemocracy #IStandWithFarmers https://t.co/GvMm9gGIka,Mehtab Virk,,2021-02-05 04:21:04,0,False,0,False,0.0,0.0
9263,2021-02-05 04:21:01,,@rihanna Thanx for supporting the Indian farmers.,Balraj Kaur,"Punjab, India",2021-02-05 04:21:01,0,False,0,False,0.25,0.4404
6275,2021-02-05 04:21:01,,@rihanna We stand with farmers bcz we also farmers,Kumail Naseeb,,2021-02-05 04:21:01,0,False,0,False,0.0,0.0
2456,2021-02-05 04:20:57,,@rihanna Jab sahi bolo to ye twitter wale bhi... Chat delate kar dete hai.....Rihanna if u really care abt our farmers plz donate every year to our farmers,Annu Pathak,,2021-02-05 04:20:57,0,False,0,False,0.2,0.5849
6238,2021-02-05 04:20:52,,@rihanna You're genius good job @rihanna,PUNJAB,,2021-02-05 04:20:52,0,False,0,False,0.7,0.4404
9046,2021-02-05 04:20:51,,@rihanna Thank you for supporting us ❤️,deep,,2021-02-05 04:20:51,0,False,0,False,0.125,0.8625
6219,2021-02-05 04:20:51,,@rihanna Thanks,HARPAL Singh,,2021-02-05 04:20:51,0,False,0,False,0.2,0.4404
2763,2021-02-05 04:20:46,,@rihanna Thank you Riri! We wont forget what this means to us supporting farmers. God bless you,Unused delete,,2021-02-05 04:20:46,0,False,0,False,0.25,0.8822
4862,2021-02-05 04:20:45,,"@rihanna The cultivators are telling what is wrong with the farmer law, which Mukesh Ambani had made in his boy's wedding overnight, you are only able to heat the bed, do not heat other things of waste,",Jitendra Tomar,"Ahmadabad City, India",2021-02-05 04:20:45,2,False,0,False,-0.065,-0.7096
6371,2021-02-05 04:20:34,,@rihanna https://t.co/orikx9yLJi,selvakumaran,,2021-02-05 04:20:34,0,False,0,False,0.0,0.0
7437,2021-02-05 04:20:23,,@rihanna Rihanna ❤,Surabhi Renukambike,,2021-02-05 04:20:23,0,False,0,False,0.0,0.6369
5669,2021-02-05 04:20:13,,"@rihanna @krishukarwasra Tu apna choch  band rakh sb koi tera  bhukha nhi h, jo bhukha hoga whi tera support krega",DEVILAL PRAJAPATI,"Jharkhand, India 🇮🇳",2021-02-05 04:20:13,1,False,0,False,0.0,0.4019
9191,2021-02-05 04:20:05,,@rihanna 👍🙏,Aman Parvez,,2021-02-05 04:20:05,0,False,0,False,0.0,0.0
6525,2021-02-05 04:20:04,,@rihanna Thanks rihana 😍😍🙌🙌🙌🙌🙇‍♂️🙇‍♂️🙇‍♂️🙇‍♂️ for standing with farmers of india. Ruling bjp party with the help of puppet govt controlled media and it cell of bjp( known for fake violant dirty tweets and comments)  is suppressing the rights of farmers and democracy,Karanvir Singh,,2021-02-05 04:20:04,0,False,0,False,-0.3,0.6486
6553,2021-02-05 04:19:52,,@rihanna thanks for support,Maninderjit singh,,2021-02-05 04:19:52,0,False,0,False,0.2,0.6808
9644,2021-02-05 04:19:32,,@rihanna पहले तू कपड़े पहनना सिख ले उस के बाद कुछ बोलने जिस की जानकारी न हो उस मैं पड़ना नही चाहिये,Bhupendra yadav,"Isagarh, India",2021-02-05 04:19:32,0,False,0,False,0.0,0.0
5270,2021-02-05 04:19:31,,@rihanna बहुत बहुत धन्यवाद आपका,akash patel,"Chunar, India",2021-02-05 04:19:31,0,False,0,False,0.0,0.0
6412,2021-02-05 04:19:29,,@rihanna It's normal for them https://t.co/2oAu5mGUTC,Ash Prince,"Hyderabad, India",2021-02-05 04:19:29,0,False,0,False,0.15,0.0
